company,code,market_cap
Agnico Eagle Mines,AEM,$26.04 B
AvalonBay Communities,AVB,$26.03 B
SSE,SSE.L,$25.98 B
Telus,TU,$25.97 B
Adani Power,ADANIPOWER.NS,$25.90 B
Naver,035420.KS,$25.83 B
Cheniere Energy,CQP,$25.82 B
Z Holdings,4689.T,$25.79 B
Corning,GLW,$25.79 B
Symbotic,SYM,$25.75 B
KONE,KNEBV.HE,$25.69 B
Splunk,SPLK,$25.64 B
American Water Works,AWK,$25.64 B
BioNTech,BNTX,$25.63 B
Schindler Group,SCHN.SW,$25.61 B
Anta Sports,2020.HK,$25.50 B
Ecopetrol,EC,$25.43 B
Coloplast,COLO-B.CO,$25.42 B
Delta Electronics,2308.TW,$25.42 B
National Bank of Canada,NA.TO,$25.39 B
Rocket Companies,RKT,$25.38 B
Fortive,FTV,$25.35 B
Telkom Indonesia,TLK,$25.31 B
Delta Air Lines,DAL,$25.30 B
West Pharmaceutical,WST,$25.26 B
Disco Corp.,6146.T,$25.19 B
Gree Electric Appliances,000651.SZ,$25.13 B
Trip.com,TCOM,$25.05 B
Vonovia,VNA.DE,$25.05 B
Canon,7751.T,$25.05 B
Zimmer Biomet,ZBH,$25.02 B
Toyota Industries,6201.T,$25.00 B
Michelin,ML.PA,$24.93 B
Willis Towers Watson,WTW,$24.89 B
The Hartford,HIG,$24.84 B
Mettler-Toledo,MTD,$24.82 B
ASM International,ASM.AS,$24.82 B
NatWest Group,NWG,$24.82 B
Central Japan Railway,9022.T,$24.77 B
Evolution Gaming,EVO.ST,$24.72 B
Galaxy Entertainment,0027.HK,$24.70 B
Ping An Bank,000001.SZ,$24.69 B
ResMed,RMD,$24.63 B
Weyerhaeuser,WY,$24.57 B
Mahindra & Mahindra,M&M.NS,$24.53 B
Komatsu,6301.T,$24.53 B
Rogers Communication,RCI,$24.51 B
JSW Steel,JSWSTEEL.NS,$24.48 B
Formosa Petrochemical,6505.TW,$24.44 B
China Resources Land,1109.HK,$24.38 B
Vodafone,VOD,$24.27 B
Straumann,STMN.SW,$24.22 B
Mobileye,MBLY,$24.19 B
Terumo,4543.T,$24.15 B
Pinterest,PINS,$23.94 B
CGI,GIB,$23.94 B
State Street Corporation,STT,$23.94 B
National Bank of Kuwait,NBK.KW,$23.82 B
Danske Bank,DANS.VI,$23.76 B
Garmin,GRMN,$23.74 B
Aptiv,APTV,$23.70 B
Fujifilm,4901.T,$23.69 B
Ørsted,DOGEF,$23.68 B
T. Rowe Price,TROW,$23.67 B
Alnylam Pharmaceuticals,ALNY,$23.64 B
Bajaj Auto,BAJAJ-AUTO.NS,$23.57 B
Telefónica,TEF,$23.54 B
Advantest,6857.T,$23.51 B
Fifth Third Bank,FITB,$23.51 B
Broadridge Financial Solutions,BR,$23.41 B
ArcelorMittal,MT,$23.37 B
Hindustan Aeronautics,HAL.NS,$23.34 B
Great Wall Motors,601633.SS,$23.33 B
EnBW Energie,EBK.DE,$23.33 B
ČEZ Group,CEZ.PR,$23.33 B
Church & Dwight,CHD,$23.32 B
Tractor Supply,TSCO,$23.28 B
LONGi Green Energy Technology,601012.SS,$23.26 B
Publicis Groupe,PUB.PA,$23.21 B
Budweiser APAC,1876.HK,$23.20 B
Panasonic,6752.T,$23.18 B
Yili Group,600887.SS,$23.09 B
Equity Residential,EQR,$23.07 B
Raymond James,RJF,$23.04 B
Riyad Bank,1010.SR,$23.01 B
Epiroc,EPI-A.ST,$22.96 B
Argenx,ARGX,$22.96 B
Associated British Foods,ABF.L,$22.94 B
Swedbank,SWED-A.ST,$22.94 B
ULTA Beauty,ULTA,$22.91 B
DTE Energy,DTE,$22.87 B
Veolia,VIE.PA,$22.83 B
China Everbright Bank,601818.SS,$22.77 B
Fairfax Financial,FFH.TO,$22.76 B
Nidec,6594.T,$22.75 B
Standard Chartered,STAN.L,$22.70 B
DLF,DLF.NS,$22.65 B
M&T Bank,MTB,$22.65 B
Shenzhen Inovance,300124.SZ,$22.60 B
ICON plc,ICLR,$22.50 B
China Tourism Group Duty Free,601888.SS,$22.50 B
MTR Corporation,0066.HK,$22.49 B
Wabtec,WAB,$22.38 B
Molina Healthcare,MOH,$22.32 B
Eversource Energy,ES,$22.28 B
FirstRand,FSR.JO,$22.27 B
Hewlett Packard Enterprise,HPE,$22.26 B
Samsung SDI,006405.KS,$22.26 B
Mitsui Fudosan,8801.T,$22.20 B
Tradeweb,TW,$22.17 B
Endesa,ELE.MC,$22.16 B
eBay,EBAY,$22.15 B
Carnival Corporation,CCL,$22.10 B
NVR,NVR,$22.09 B
Philips,PHG,$21.99 B
Lasertec,6920.T,$21.96 B
Sampo,SAMPO.HE,$21.93 B
Howmet Aerospace,HWM,$21.90 B
SAIC Motor,600104.SS,$21.90 B
Entergy,ETR,$21.90 B
ORIX,IX,$21.89 B
PulteGroup,PHM,$21.82 B
Svenska Handelsbanken,SHB-A.ST,$21.81 B
FirstEnergy,FE,$21.81 B
Astellas Pharma,4503.T,$21.73 B
Sea (Garena),SE,$21.72 B
Alexandria Real Estate Equities,ARE,$21.72 B
Indian Oil,IOC.NS,$21.71 B
Sartorius,SRT.DE,$21.68 B
Wheaton Precious Metals,WPM,$21.67 B
Grupo Bimbo,BIMBOA.MX,$21.61 B
Saudi Electricity,5110.SR,$21.56 B
YANGHE,002304.SZ,$21.54 B
East Japan Railway,9020.T,$21.46 B
China Minsheng Bank,600016.SS,$21.41 B
Hang Seng Bank,0011.HK,$21.38 B
Franco-Nevada,FNV,$21.35 B
COSCO Shipping,601919.SS,$21.34 B
Steris,STE,$21.34 B
Ericsson,ERIC,$21.33 B
HEICO,HEI,$21.32 B
Société Générale,GLE.PA,$21.28 B
Genmab,GMAB,$21.28 B
Antofagasta,ANTO.L,$21.18 B
Alinma Bank,1150.SR,$21.12 B
Unicharm,8113.T,$21.11 B
Cathay Financial Holding,2882.TW,$21.10 B
Nippon Steel,5401.T,$21.10 B
Itaúsa,ITSA3.SA,$21.09 B
Industries Qatar,IQCD.QA,$21.02 B
Blue Owl Capital,OWL,$20.92 B
LTIMindtree,LTIM.NS,$20.87 B
Toyota Tsusho,8015.T,$20.86 B
Teck Resources,TECK,$20.84 B
Imperial Brands,IMB.L,$20.83 B
Teledyne,TDY,$20.82 B
Dover,DOV,$20.78 B
Invitation Homes,INVH,$20.78 B
EDP Group,EDP.F,$20.77 B
EDP Renováveis,EDPR.LS,$20.77 B
Illumina,ILMN,$20.75 B
The Saudi British Bank,1060.SR,$20.74 B
United Microelectronics,UMC,$20.73 B
Dai-ichi Life Holdings,8750.T,$20.72 B
Sirius XM,SIRI,$20.70 B
CLP Group,0002.HK,$20.69 B
Live Nation,LYV,$20.67 B
Rollins,ROL,$20.65 B
Otsuka Holdings,4578.T,$20.60 B
Techtronic Industries,0669.HK,$20.59 B
China Securities,601066.SS,$20.58 B
UWM Holdings,UWMC,$20.53 B
MS&AD Insurance,8725.T,$20.51 B
Geberit,GEBN.SW,$20.48 B
PPL,PPL,$20.46 B
Zoom,ZM,$20.42 B
Walgreens Boots Alliance,WBA,$20.39 B
VeriSign,VRSN,$20.36 B
International Flavors & Fragrances,IFF,$20.32 B
Fortis,FTS,$20.30 B
Borouge,BOROUGE.AE,$20.29 B
Fleetcor,FLT,$20.26 B
First Citizens BancShares,FCNCA,$20.21 B
Expedia Group,EXPE,$20.18 B
UPM-Kymmene,UPM.HE,$20.14 B
Tenaris,TS,$20.14 B
PTC,PTC,$20.13 B
CK Hutchison Holdings,0001.HK,$20.11 B
Brown & Brown,BRO,$20.07 B
Kyocera,6971.T,$20.00 B
Tata Steel,TATASTEEL.NS,$20.00 B
Dollarama,DOL.TO,$19.97 B
CRRC,1766.HK,$19.96 B
Align Technology,ALGN,$19.94 B
Yankuang Energy (Yanzhou Coal Mining),600188.SS,$19.86 B
Ventas,VTR,$19.85 B
Suzuki Motor,7269.T,$19.84 B
BOE Technology,000725.SZ,$19.83 B
Ajinomoto,2802.T,$19.76 B
Coca-Cola FEMSA,KOF,$19.76 B
Daiwa House,1925.T,$19.72 B
Builders FirstSource,BLDR,$19.70 B
Varun Beverages,VBL.NS,$19.67 B
Baxter,BAX,$19.67 B
Kellogg's,K,$19.65 B
J. B. Hunt,JBHT,$19.62 B
Iron Mountain,IRM,$19.52 B
Targa Resources,TRGP,$19.48 B
Ameren,AEE,$19.48 B
POSCO Chemical,003670.KS,$19.47 B
Mitsubishi Heavy Industries,7011.T,$19.43 B
Swiss Life,SLHN.SW,$19.38 B
Centrais Electricas Brasileiras,EBR,$19.37 B
Darden Restaurants,DRI,$19.33 B
NTT Data,9613.T,$19.33 B
AIER Eye Hospital,300015.SZ,$19.26 B
Nokia,NOK,$19.24 B
Tyson Foods,TSN,$19.23 B
Coterra Energy,CTRA,$19.20 B
LabCorp,LH,$19.19 B
KE Holdings,BEKE,$19.19 B
Genuine Parts Company,GPC,$19.16 B
Markel,MKL,$19.15 B
Steel Dynamics,STLD,$19.12 B
Rivian,RIVN,$19.07 B
Kakao,035720.KS,$19.05 B
W. R. Berkley,WRB,$19.02 B
Pembina Pipeline,PBA,$19.01 B
Principal,PFG,$18.98 B
Aeon,8267.T,$18.90 B
DiDi,DIDIY,$18.88 B
Advanced Info Service (AIS),ADVANC.BK,$18.87 B
Nippon Paint,4612.T,$18.87 B
PKN Orlen,PKN.WA,$18.83 B
Kaō,4452.T,$18.78 B
Power Corporation of Canada,POW.TO,$18.77 B
China Unicom,0762.HK,$18.77 B
Kaspi.kz Joint Stock Company,KKS.F,$18.76 B
Sonova,SOON.SW,$18.76 B
Asahi Group,2502.T,$18.71 B
Legal & General,LGEN.L,$18.69 B
Aker BP,AKRBP.OL,$18.66 B
Cameco,CCJ,$18.65 B
Axon Enterprise,AXON,$18.65 B
ASE Group,ASX,$18.61 B
Expeditors,EXPD,$18.56 B
China Railway Group,0390.HK,$18.55 B
Chongqing Changan,000625.SZ,$18.55 B
Cboe,CBOE,$18.53 B
Standard Bank Group,SBK.JO,$18.50 B
China Overseas Land & Investment,0688.HK,$18.47 B
BeiGene,BGNE,$18.47 B
Repsol,REP.MC,$18.46 B
Carlsberg,CARL-B.CO,$18.45 B
CenterPoint Energy,CNP,$18.43 B
Huntington Bancshares,HBAN,$18.42 B
Ems-Chemie,EMSN.SW,$18.37 B
Talanx,TLX.DE,$18.31 B
BioMarin Pharmaceutical,BMRN,$18.28 B
Arca Continental,AC.MX,$18.27 B
McCormick & Company,MKC,$18.27 B
Waters Corporation,WAT,$18.15 B
Cooper Companies,COO,$18.11 B
China Tower,0788.HK,$18.03 B
PBBank (Public Bank Bhd),1295.KL,$17.97 B
Fresenius,FRE.DE,$17.93 B
Check Point Software,CHKP,$17.84 B
Hydro One,H.TO,$17.79 B
First Solar,FSLR,$17.79 B
Atmos Energy,ATO,$17.79 B
NetApp,NTAP,$17.76 B
Telefonica Brasil,VIV,$17.74 B
CTBC Financial Holding,2891.TW,$17.74 B
Ball Corporation,BALL,$17.74 B
Regions Financial,RF,$17.71 B
LPL Financial,LPLA,$17.70 B
Warner Music Group,WMG,$17.68 B
Hormel Foods,HRL,$17.66 B
Vertiv Holdings,VRT,$17.65 B
Clorox,CLX,$17.64 B
Westlake Chemical,WLK,$17.61 B
Elm Company,7203.SR,$17.60 B
Bank of Ningbo,002142.SZ,$17.60 B
Abu Dhabi Commercial Bank (ADCB),ADCB.AE,$17.59 B
MFHC,2886.TW,$17.58 B
Erie Indemnity,ERIE,$17.56 B
Bolloré,BOP.F,$17.56 B
Snam,SRG.MI,$17.53 B
Hologic,HOLX,$17.50 B
Siemens India,SIEMENS.NS,$17.50 B
Saudi Arabian Fertilizer Company,2020.SR,$17.50 B
Aristocrat,ALL.AX,$17.49 B
FactSet,FDS,$17.46 B
Kubota,6326.T,$17.45 B
CMS Energy,CMS,$17.39 B
Akamai,AKAM,$17.36 B
CK Asset Holdings,1113.HK,$17.36 B
Deckers Brands,DECK,$17.32 B
NIO,NIO,$17.29 B
WSP Global,WSP.TO,$17.28 B
Inpex,1605.T,$17.28 B
SBI Life Insurance,SBILIFE.NS,$17.22 B
Sun Communities,SUI,$17.22 B
Essity,ESSITY-B.ST,$17.20 B
Tyler Technologies,TYL,$17.20 B
PTT Exploration and Production,PTTEP.BK,$17.20 B
Bank of Jiangsu,600919.SS,$17.20 B
TDK,6762.T,$17.19 B
Abiomed,ABMD,$17.18 B
Northern Trust,NTRS,$17.17 B
Guotai Junan Securities,601211.SS,$17.15 B
Sungrow Power Supply,300274.SZ,$17.14 B
Yum China,YUMC,$17.14 B
Terna,TRN.MI,$17.10 B
Hubbell,HUBB,$17.07 B
Weichai Power,2338.HK,$17.02 B
Brookfield Renewable Partners,BEP,$17.00 B
Seagate Technology,STX,$16.97 B
Pidilite,PIDILITIND.NS,$16.92 B
Mitsubishi Estate,8802.T,$16.92 B
Omnicom,OMC,$16.90 B
UCB,UCB.VI,$16.88 B
EPAM Systems,EPAM,$16.83 B
Cincinnati Financial,CINF,$16.76 B
HDFC Life,HDFCLIFE.NS,$16.75 B
Nomura Research Institute,4307.T,$16.75 B
Nan Ya Plastics,1303.TW,$16.74 B
Olympus,7733.T,$16.71 B
Santos,STO.AX,$16.69 B
ZTO Express,ZTO,$16.65 B
China Longyuan Power Group,0916.HK,$16.63 B
Lenovo,0992.HK,$16.62 B
Royalty Pharma,RPRX,$16.58 B
Southwest Airlines,LUV,$16.57 B
Entegris,ENTG,$16.56 B
WiseTech Global,WTC.AX,$16.55 B
Skyworks Solutions,SWKS,$16.54 B
Wilmar International,F34.SI,$16.53 B
George Weston,WN.TO,$16.50 B
Booz Allen Hamilton,BAH,$16.46 B
James Hardie Industries,JHX,$16.43 B
Bharat Electronics,BEL.NS,$16.42 B
HeidelbergCement,HEI.DE,$16.41 B
Sodexo,SW.PA,$16.40 B
Celanese,CE,$16.39 B
Samsara,IOT,$16.39 B
Grasim Industries,GRASIM.NS,$16.38 B
Huatai Securities,601688.SS,$16.34 B
SGS,SGSN.SW,$16.34 B
ADNOC Drilling Company,ADNOCDRILL.AE,$16.33 B
Continental,CON.DE,$16.31 B
Watsco,WSO,$16.28 B
Alfa Laval,ALFA.ST,$16.28 B
Western Digital,WDC,$16.28 B
Jabil,JBL,$16.27 B
Supermicro,SMCI,$16.26 B
Moncler,MONC.MI,$16.23 B
Best Buy,BBY,$16.21 B
Telenor,TEL.OL,$16.20 B
Enphase Energy,ENPH,$16.19 B
Erste Group Bank,EBO.F,$16.19 B
Essex Property Trust,ESS,$16.18 B
VinFast Auto,VFS,$16.17 B
Almarai,2280.SR,$16.17 B
Hindustan Zinc,HINDZINC.NS,$16.16 B
Dassault Aviation,AM.PA,$16.13 B
Power Finance Corp,PFC.NS,$16.09 B
IDEX,IEX,$16.08 B
Formosa Plastics,1301.TW,$16.06 B
Jacobs Engineering,J,$16.06 B
Reliance Steel & Aluminum,RS,$16.05 B
Magna International,MGA,$15.99 B
Nexon,3659.T,$15.99 B
Sany Heavy Industry,600031.SS,$15.99 B
Everest Group,EG,$15.94 B
Albemarle,ALB,$15.92 B
Sompo Holdings,8630.T,$15.92 B
Indian Railway Finance,IRFC.NS,$15.91 B
REA Group,REA.AX,$15.91 B
Kingspan Group,KRX.IR,$15.90 B
Sociedad Química y Minera,SQM,$15.86 B
Loews Corporation,L,$15.85 B
Mid-America Apartment Communities,MAA,$15.85 B
Tourmaline Oil,TOU.TO,$15.83 B
Quest Diagnostics,DGX,$15.80 B
Avery Dennison,AVY,$15.80 B
Nippon Yūsen,9101.T,$15.79 B
B3,B3SA3.SA,$15.78 B
EQT Corporation,EQT,$15.76 B
Grupo Financiero Inbursa,GFINBURO.MX,$15.76 B
Grupo Elektra,XEKT.MC,$15.72 B
PKO Bank Polski,PKO.WA,$15.67 B
NEC Corp,6701.T,$15.62 B
Tencent Music,TME,$15.62 B
Vanke,2202.HK,$15.60 B
ZTE,000063.SZ,$15.58 B
DraftKings,DKNG,$15.58 B
Huaneng Power,600011.SS,$15.58 B
Commerzbank,CBK.F,$15.56 B
Teradyne,TER,$15.55 B
Synchrony,SYF,$15.54 B
Britannia Industries,BRITANNIA.NS,$15.52 B
Textron,TXT,$15.50 B
CF Industries,CF,$15.49 B
Porsche SE,PAH3.DE,$15.47 B
BT Group,BT-A.L,$15.44 B
IndusInd Bank,INDUSINDBK.NS,$15.41 B
Lennox,LII,$15.39 B
Gulf Energy Development Public Company,GULF.BK,$15.38 B
Hyundai Mobis,012330.KS,$15.35 B
CNH Industrial,CNHI,$15.32 B
Lamb Weston,LW,$15.31 B
Jerónimo Martins,JEM.F,$15.31 B
Nissan,7201.T,$15.26 B
Aviva,AV.L,$15.23 B
Dynatrace,DT,$15.20 B
Sage Group,SGE.L,$15.15 B
Citizens Financial Group,CFG,$15.07 B
Hindalco Industries,HINDALCO.NS,$15.07 B
InterContinental Hotels Group,IHG,$15.06 B
Incyte,INCY,$15.06 B
WuXi Biologics,WXXWY,$15.05 B
Edenred,EDEN.PA,$15.04 B
Kerry Group,KRZ.IR,$15.02 B
KB Financial Group,KB,$15.01 B
MGM Resorts,MGM,$15.01 B
China Merchants Securities,600999.SS,$14.99 B
Snap-on,SNA,$14.95 B
Symrise,SY1.DE,$14.94 B
Brookfield Asset Management,BAM,$14.94 B
Anhui Conch Cement,AHCHF,$14.94 B
Secom,9735.T,$14.93 B
Avantor,AVTR,$14.92 B
Astra International,ASII.JK,$14.90 B
Leidos,LDOS,$14.86 B
OBIC,4684.T,$14.85 B
Packaging Corporation of America,PKG,$14.84 B
QBE Insurance,QBE.AX,$14.82 B
Novozymes,NZYM.VI,$14.82 B
Godrej,GODREJCP.NS,$14.78 B
Bank of Baroda,BANKBARODA.NS,$14.78 B
SS&C Technologies,SSNC,$14.76 B
AMH (American Homes 4 Rent),AMH,$14.75 B
Adani Total Gas,ATGL.NS,$14.74 B
Poste Italiane,PST.MI,$14.71 B
Carlisle Companies,CSL,$14.70 B
Seres Group,601127.SS,$14.66 B
Shinhan Financial Group,SHG,$14.66 B
Tech Mahindra,TECHM.NS,$14.63 B
Logitech,LOGI,$14.63 B
AerCap,AER,$14.60 B
CP All,CPALL.BK,$14.58 B
Coles Group,COL.AX,$14.56 B
Formula One Group,FWONK,$14.50 B
Suzano,SUZ,$14.48 B
Bouygues,EN.PA,$14.47 B
POOLCORP,POOL,$14.47 B
China Communications Construction,601800.SS,$14.45 B
Stanley Black & Decker,SWK,$14.45 B
Masco,MAS,$14.43 B
OMV,OMV.F,$14.43 B
Rheinmetall,RHM.F,$14.41 B
Bunge,BG,$14.41 B
Nordson,NDSN,$14.40 B
Chow Tai Fook,1929.HK,$14.40 B
JD Health,6618.HK,$14.37 B
Gen Digital,GEN,$14.34 B
GoDaddy,GDDY,$14.33 B
Sekisui House,1928.T,$14.30 B
Marathon Oil,MRO,$14.26 B
Air China,601111.SS,$14.26 B
Eisai,4523.T,$14.24 B
Singapore Airlines,C6L.SI,$14.23 B
Unity Software,U,$14.22 B
Corebridge Financial,CRBG,$14.18 B
Nitori Holdings,9843.T,$14.18 B
Link REIT,0823.HK,$14.16 B
Franklin Resources,BEN,$14.14 B
W. P. Carey,WPC,$14.14 B
Henderson Land Development,0012.HK,$14.13 B
Carlyle Group,CG,$14.12 B
Freddie Mac,FMCCT,$14.10 B
Graco,GGG,$14.10 B
Rentokil Initial,RTO,$14.05 B
Domino's Pizza,DPZ,$14.05 B
Subaru,7270.T,$14.04 B
Brookfield Infrastructure Partners,BIP,$14.03 B
NIBE Industrier,NIBE-B.ST,$14.03 B
Host Hotels & Resorts,HST,$14.01 B
Hong Kong and China Gas,0003.HK,$14.00 B
Pan Pacific International Holdings,7532.T,$13.99 B
CK Infrastructure,1038.HK,$13.98 B
Kimco Realty,KIM,$13.98 B
Bentley Systems,BSY,$13.97 B
Shionogi,4507.T,$13.97 B
Amundi,AMUN.PA,$13.96 B
Fox Corporation,FOX,$13.96 B
Insulet,PODD,$13.95 B
News Corp,NWS,$13.95 B
Industrivarden,INDU-A.ST,$13.95 B
Magellan Midstream Partners,MMP,$13.94 B
Next plc,NXT.L,$13.90 B
InterGlobe Aviation,INDIGO.NS,$13.89 B
Amcor,AMCR,$13.88 B
Bunzl,BNZL.L,$13.84 B
Sumitomo Mitsui Trust Holdings,8309.T,$13.84 B
Viatris,VTRS,$13.82 B
AkzoNobel,AKZA.AS,$13.81 B
Rural Electrification Corp,RECLTD.NS,$13.79 B
Okta,OKTA,$13.79 B
BB Seguridade Participações,BBSE3.SA,$13.75 B
SEGRO,SGRO.L,$13.75 B
Vistra,VST,$13.74 B
VAT Group,VACN.SW,$13.74 B
Prada,1913.HK,$13.73 B
Conagra Brands,CAG,$13.71 B
Nomura Holdings,NMR,$13.70 B
CIMB Group,1023.KL,$13.69 B
Informa plc,INF.L,$13.67 B
J.M. Smucker Company,SJM,$13.65 B
Shimano,7309.T,$13.63 B
Equity LifeStyle Properties,ELS,$13.63 B
Bank of Beijing,601169.SS,$13.61 B
Sumitomo Realty & Development,8830.T,$13.61 B
KPN,KPN.AS,$13.56 B
XP Inc.,XP,$13.48 B
Bank Negara Indonesia,BBNI.JK,$13.47 B
KeyCorp (KeyBank),KEY,$13.45 B
Fortum,FORTUM.HE,$13.44 B
UDR Apartments,UDR,$13.43 B
Tryg,TRYG.CO,$13.42 B
Celsius Holdings,CELH,$13.42 B
Lundbergföretagen,LUND-B.ST,$13.41 B
Swatch,UHR.SW,$13.41 B
China Railway Construction,601186.SS,$13.39 B
Molson Coors,TAP,$13.34 B
Zomato,ZOMATO.NS,$13.34 B
Brenntag,BNR.DE,$13.31 B
Alliant Energy,LNT,$13.29 B
China Resources Beer,0291.HK,$13.27 B
Uni-President Enterprises,1216.TW,$13.26 B
United Airlines Holdings,UAL,$13.26 B
Affirm,AFRM,$13.25 B
Revvity,RVTY,$13.25 B
Adevinta,ADE.OL,$13.24 B
AspenTech,AZPN,$13.23 B
China Steel,2002A.TW,$13.22 B
Qatar Islamic Bank,QIBK.QA,$13.21 B
Shandong Gold Mining,600547.SS,$13.17 B
XPeng,XPEV,$13.16 B
RPM International,RPM,$13.15 B
Fidelity National Financial,FNF,$13.14 B
Tenaga Nasional,TNABY,$13.12 B
Ambuja Cements,AMBUJACEM.NS,$13.12 B
Trent Limited,TRENT.NS,$13.11 B
JDE Peet's,JDEP.AS,$13.10 B
Hyatt Hotels,H,$13.10 B
Bandai Namco,7832.T,$13.10 B
Cholamandalam Investment and Finance,CHOLAFIN.NS,$13.09 B
Neurocrine Biosciences,NBIX,$13.08 B
Cochlear,COH.AX,$13.05 B
Campbell Soup,CPB,$13.04 B
Banque Saudi Fransi,1050.SR,$13.04 B
bioMérieux,BIM.PA,$13.04 B
Owens Corning,OC,$13.03 B
Avangrid,AGR,$13.02 B
Zebra Technologies,ZBRA,$13.01 B
Gaming and Leisure Properties,GLPI,$12.99 B
Tata Power,TATAPOWER.NS,$12.97 B
ABN AMRO,ABN.AS,$12.97 B
E.SUN Bank,2884.TW,$12.96 B
Albertsons,ACI,$12.95 B
Amerco,UHAL,$12.89 B
Divis Laboratories,DIVISLAB.NS,$12.89 B
Hua Xia Bank,600015.SS,$12.89 B
GAIL,GAIL.NS,$12.89 B
Punjab National Bank,PNB.NS,$12.89 B
Exact Sciences,EXAS,$12.84 B
Norsk Hydro,NHY.OL,$12.84 B
Gold Fields,GFI,$12.84 B
Brambles,BXB.AX,$12.81 B
Aéroports de Paris,ADP.PA,$12.81 B
Grab Holdings,GRAB,$12.81 B
Localiza,RENT3.SA,$12.80 B
Davide Campari-Milano,CPR.MI,$12.79 B
AppLovin,APP,$12.77 B
New Oriental,EDU,$12.76 B
UiPath,PATH,$12.76 B
Carrefour,CA.PA,$12.74 B
Fresenius Medical Care,FMS,$12.72 B
Lodha Group,LODHA.NS,$12.72 B
Ecopro,086520.KQ,$12.71 B
Eicher Motors,EICHERMOT.NS,$12.70 B
LG Electronics,066570.KS,$12.70 B
Trimble,TRMB,$12.66 B
AES,AES,$12.66 B
Roku,ROKU,$12.65 B
Power Financial,PWF-PS.TO,$12.64 B
PChem (Petronas Chemicals Group),5183.KL,$12.64 B
International Paper,IP,$12.63 B
OTP Bank,OTP.BD,$12.61 B
Ivanhoe Mines,IVN.TO,$12.60 B
Shinkin Central Bank,8421.T,$12.59 B
Cipla,CIPLA.NS,$12.58 B
Tata Consumer Products,TATACONSUM.NS,$12.57 B
Williams-Sonoma,WSM,$12.57 B
Zillow,Z,$12.56 B
Bangkok Dusit Medical Services (BDMS),BDMS.BK,$12.55 B
Taiwan Cooperative Financial,5880.TW,$12.54 B
AMEC,688012.SS,$12.53 B
Manhattan Associates,MANH,$12.47 B
Eurofins Scientific,ERF.PA,$12.47 B
Santander Polska,SPL.WA,$12.46 B
Twilio,TWLO,$12.45 B
Abu Dhabi National Oil Company (ADNOC),ADNOCDIST.AE,$12.45 B
NICE,NICE,$12.44 B
LKQ Corporation,LKQ,$12.43 B
TransUnion,TRU,$12.43 B
China Southern Airlines,600029.SS,$12.41 B
TPG Capital,TPG,$12.41 B
Rede D'Or Sao Luiz,RDOR3.SA,$12.39 B
Evergy,EVRG,$12.36 B
Interpublic Group,IPG,$12.35 B
Galp Energia,GZ5.F,$12.33 B
Power Assets,0006.HK,$12.32 B
Capitec Bank,CPI.JO,$12.32 B
Shree Cement,SHREECEM.NS,$12.29 B
Aluminum Corporation of China,601600.SS,$12.29 B
ABB India,ABB.NS,$12.28 B
Prysmian Group,PRY.MI,$12.27 B
BDO Unibank,BDOUY,$12.26 B
Burlington Stores,BURL,$12.24 B
Teva Pharmaceutical Industries,TEVA,$12.23 B
Bank Leumi,LUMI.TA,$12.20 B
ENEOS Holdings,5020.T,$12.20 B
Mitsui O.S.K. Lines,9104.T,$12.19 B
Bank Hapoalim,POLI.TA,$12.17 B
Hotai Motor,2207.TW,$12.16 B
Regency Centers,REG,$12.14 B
Enel Américas,ENELAM.SN,$12.14 B
Lincoln Electric,LECO,$12.13 B
AECOM,ACM,$12.11 B
Ritchie Bros. Auctioneers,RBA,$12.10 B
GFL Environmental,GFL,$12.09 B
Koç Holding,KCHOL.IS,$12.08 B
Jack Henry & Associates,JKHY,$12.06 B
Dabur,DABUR.NS,$12.06 B
Texas Pacific Land Trust,TPL,$12.03 B
Bank of Shanghai,601229.SS,$12.02 B
INWIT,INW.MI,$12.00 B
Adani Transmission,ADANITRANS.NS,$11.94 B
Karuna Therapeutics,KRTX,$11.93 B
Smith & Nephew,SNN,$11.92 B
Shiseido,4911.T,$11.89 B
A. O. Smith,AOS,$11.89 B
Vedanta,VEDL.NS,$11.88 B
Rexford Industrial,REXR,$11.86 B
DexCom,DXCM,$11.85 B
Dr. Reddy's,RDY,$11.84 B
First Financial Holding,2892.TW,$11.83 B
KEPCO,9503.T,$11.83 B
Bank Albilad,1140.SR,$11.83 B
Ovintiv,OVV,$11.80 B
Bharat Petroleum,BPCL.NS,$11.76 B
Suncorp,SUN.AX,$11.76 B
Morningstar,MORN,$11.75 B
Traton,8TRA.DE,$11.72 B
The Mosaic Company,MOS,$11.71 B
Bureau Veritas,BVI.PA,$11.71 B
Kirin Holdings,2503.T,$11.71 B
AIB Group (Allied Irish Banks),A5G.IR,$11.71 B
Resona Holdings,8308.T,$11.70 B
NRG Energy,NRG,$11.67 B
Metro,MRU.TO,$11.64 B
Credicorp,BAP,$11.63 B
Ares Capital,ARCC,$11.62 B
Swire Properties,1972.HK,$11.61 B
Julius Bär,BAER.SW,$11.60 B
CNA Financial,CNA,$11.60 B
Kazatomprom,0ZQ.F,$11.60 B
MTU Aero Engines,MTX.DE,$11.58 B
Pure Storage,PSTG,$11.57 B
Wise PLC,WISE.L,$11.56 B
CapitaLand Investment Limited,9CI.SI,$11.56 B
Renault,RNO.PA,$11.54 B
