company,code,market_cap
7-Eleven,3382.T,$34.48 B
Celltrion,068270.KS,$34.39 B
Extra Space Storage,EXR,$34.19 B
PPG Industries,PPG,$34.16 B
Wolters Kluwer,WKL.AS,$34.12 B
Adidas,ADS.DE,$34.00 B
Restaurant Brands International,QSR,$33.95 B
Baker Hughes,BKR,$33.94 B
Luzhou Laojiao,000568.SZ,$33.92 B
Gartner,IT,$33.77 B
The Trade Desk,TTD,$33.75 B
SMC corp,6273.T,$33.63 B
Beiersdorf,BEI.DE,$33.57 B
Cummins,CMI,$33.56 B
Anglo American,AAL.L,$33.54 B
CoStar Group,CSGP,$33.49 B
Corteva,CTVA,$33.46 B
Generali,G.MI,$33.40 B
VICI Properties,VICI,$33.27 B
RWE,RWE.DE,$33.24 B
ON Semiconductor,ON,$33.23 B
Kroger,KR,$33.13 B
Dupont De Nemours,DD,$33.04 B
Wanhua Chemical,600309.SS,$32.96 B
Chandra Asri Petrochemical,TPIA.JK,$32.96 B
Global Payments,GPN,$32.92 B
CITIC Bank,601998.SS,$32.83 B
Maersk,MAERSK-B.CO,$32.74 B
EQT,EQT.ST,$32.67 B
Swiss Re,SREN.SW,$32.62 B
Bajaj Finserv,BAJAJFINSV.NS,$32.55 B
Luxshare Precision,002475.SZ,$32.51 B
Nasdaq,NDAQ,$32.50 B
Oil & Natural Gas,ONGC.NS,$32.45 B
Halliburton,HAL,$32.40 B
Hapag-Lloyd,HLAG.DE,$32.38 B
Rolls-Royce Holdings,RR.L,$32.35 B
Consolidated Edison,ED,$32.31 B
Adani Green Energy,ADANIGREEN.NS,$32.25 B
Assa Abloy,ASAZF,$32.06 B
Imperial Oil,IMO,$32.06 B
Verbund AG,OEWA.F,$31.97 B
CaixaBank,CABK.MC,$31.97 B
DNB,DNB.OL,$31.89 B
Hexagon,HXGBF,$31.80 B
Henkel,HEN3.DE,$31.77 B
Banco do Brasil,BBAS3.SA,$31.64 B
Swisscom,SCMN.SW,$31.56 B
Delta Electronics (Thailand),DELTA.BK,$31.45 B
Nestlé India,NESTLEIND.NS,$31.42 B
Zscaler,ZS,$31.33 B
Muyuan Foods,002714.SZ,$31.27 B
LyondellBasell,LYB,$31.27 B
WEG ON,WEGE3.SA,$31.23 B
