company_x,esg_rating,stock_name,company_y,roe,company,code,market_cap
Air New Zealand Ltd.,28.8,NZE:AIR,,,,,
"Air Products & Chemicals, Inc.",12.5,NYS:APD,,,,,
"Air Transport Services Group, Inc.",23.6,NAS:ATSG,,,,,
"Air Water, Inc.",22.2,TKS:4088,,,,,
"Airbnb, Inc.",22.8,NAS:ABNB,,,,,
Airbus SE,25.6,PAR:AIR,,,,,
Aircastle Ltd.,21.7,-,,,,,
Airport Authority Hong Kong,10.3,-,,,,,
Airport City Ltd.,24.4,TAE:ARPT,,,,,
"Airport Facilities Co., Ltd.",23.5,TKS:8864,,,,,
Airports of Thailand Public Co. Ltd.,17.1,BKK:AOT,,,,,
"AirSculpt Technologies, Inc.",32.7,NAS:AIRS,,,,,
Airtac International Group,34.1,TAI:1590,,,,,
Airtel Africa Plc,23.9,LON:AAF,,,,,
AirTrip Corp.,39.8,TKS:6191,,,,,
"Aisan Industry Co., Ltd.",23.4,TKS:7283,,,,,
Aisin Corp.,25.6,TKS:7259,,,,,
AIXTRON SE,21.3,ETR:AIXA,,,,,
AJ Bell Plc,25.0,LON:AJB,,,,,
Ajanta Pharma Ltd.,32.3,BOM:532331,,,,,
"Ajinomoto Co., Inc.",27.2,TKS:2802,,,,,
AK Medical Holdings Ltd.,29.3,HKG:1789,,,,,
"Akamai Technologies, Inc.",15.1,NAS:AKAM,,,,,
"Akatsuki, Inc.",24.1,TKS:3932,,,,,
Akbank TAS,15.4,IST:AKBNK.E,,,,,
Akcansa Cimento Sanayi ve Ticaret AS,30.0,IST:AKCNS.E,,,,,
"Akebono Brake Industry Co., Ltd.",25.5,TKS:7238,,,,,
Akelius Residential Property AB,15.1,OME:AKEL.D,,,,,
Aker ASA,14.5,OSL:AKER,,,Aker ASA,AKER.OL,$4.82 B
Aker BP ASA,34.6,OSL:AKRBP,,,,,
Aker Carbon Capture AS,18.8,OSL:ACC,,,,,
Aker Horizons ASA,21.0,OSL:AKH,,,,,
Aker Solutions ASA,23.5,OSL:AKSO,,,Aker Solutions ASA,AKSO.OL,$2.05 B
